0 ,8e-07
1 ,7e-07
2 ,4e-07
3 ,4e-07
4 ,5e-07
5 ,6e-07
6 ,9e-07
7 ,7e-07
8 ,4e-07
9 ,4e-07
10 ,5e-07
11 ,3e-07
12 ,4e-07
13 ,4e-07
14 ,4e-07
15 ,4e-07
16 ,4e-07
17 ,5e-07
18 ,4e-07
19 ,4e-07
20 ,4e-07
21 ,1e-06
22 ,5e-07
23 ,4e-07
24 ,4e-07
25 ,3e-07
26 ,4e-07
27 ,4e-07
28 ,5e-07
29 ,3e-07
30 ,5e-07
31 ,3e-07
32 ,5e-07
33 ,7e-07
34 ,4e-07
35 ,6e-07
36 ,3e-07
37 ,5e-07
38 ,3e-07
39 ,6e-07
40 ,3e-07
41 ,7e-07
42 ,8e-07
43 ,4e-07
44 ,4e-07
45 ,3e-07
46 ,4e-07
47 ,4e-07
48 ,7e-07
49 ,4e-07
50 ,4e-07
51 ,4e-07
52 ,4e-07
53 ,5e-07
54 ,6e-07
55 ,3e-07
56 ,4e-07
57 ,4e-07
58 ,4e-07
59 ,4e-07
60 ,4e-07
61 ,6e-07
62 ,4e-07
63 ,4e-07
64 ,4e-07
65 ,4e-07
66 ,3e-07
67 ,4e-07
68 ,3e-07
69 ,3e-07
70 ,3e-07
71 ,4e-07
72 ,4e-07
73 ,4e-07
74 ,4e-07
75 ,3e-07
76 ,4e-07
77 ,4e-07
78 ,3e-07
79 ,6e-07
80 ,5e-07
81 ,7e-07
82 ,4e-07
83 ,5e-07
84 ,4e-07
85 ,4e-07
86 ,3e-07
87 ,4e-07
88 ,4e-07
89 ,3e-07
90 ,4e-07
91 ,4e-07
92 ,4e-07
93 ,3e-07
94 ,4e-07
95 ,8e-07
96 ,4e-07
97 ,4e-07
98 ,4e-07
99 ,5e-07
100 ,4e-07
101 ,4e-07
102 ,1.1e-06
103 ,4e-07
104 ,3e-07
105 ,4e-07
106 ,4e-07
107 ,4e-07
108 ,4e-07
109 ,4e-07
110 ,4e-07
111 ,1.3e-06
112 ,3e-07
113 ,5e-07
114 ,4e-07
115 ,1e-06
116 ,4e-07
117 ,5e-07
118 ,4e-07
119 ,3e-07
